Statement,Accessibilty,Accuracy,Customizability,Legal,Maintainability,Performance,Safety,Security,Trust,Usability,Other
"From social networks: Demographic Information- This characteristic information could include information such as income, marital status, spending habits, and other information pertaining to customers",0,0,1,0,0,0,0,0,0,0,0
"Functional cookies are used to create technologically advanced, user-friendly websites and apps that adapt automatically to your needs and preferences",0,0,0,0,0,0,0,0,0,1,0
"Getaround cares about the security of your information and uses commercially reasonable physical, administrative, and technological safeguards to preserve the integrity and security of all information we collect and that we share with our service providers",0,0,0,0,0,0,0,1,0,0,0
Getaround does not collect or store any data generated by Third Party Hardware Devices,0,0,0,0,0,0,0,0,1,0,0
Help you to use our services faster and more easily through features such as the ability to sign-in using your account within the online services and sites of some of the Expedia Group companies,0,0,0,0,0,1,0,0,0,0,0
Help you to use our services faster and more easily through features such as the ability to sign-in using your account within the online services and sites of some of the Expedia Group companies,0,0,0,0,0,0,0,0,0,1,0
helping you to contact the right Trip Provider and responding to any questions you might have about your Trip Reservation,0,0,0,0,0,0,0,0,0,1,0
"Hosts may use third-party services to help manage or deliver their services, such as cleaning services or lock providers. Hosts may use features on the Airbnb Platform to share information about the Guest (like check-in and check-out dates, Guest name, Guest phone number) with such third-party service providers.",0,0,0,0,0,0,0,0,0,0,1
"if there is a confirmed booking, your phone number will become visible to the other party, who may call you directly.",0,0,0,0,0,0,0,0,0,0,1
"If you are referred to DoorDash through one of our referral programs, or if someone attempts to refer you, we may share your name, whether you have already signed up for DoorDash",0,0,0,0,0,0,0,0,0,0,1
"If you enter loyalty card information from a particular retailer, we share that information with the retailer you chose along with your order so that information can be added to your loyalty card account.",0,0,0,0,0,0,0,0,0,0,1
"If you own a vehicle that is used on Getaround, we may inspect the vehicle, collect information identifying the vehicle (like a license plate number, VIN), and obtain a vehicle history report to make sure the vehicle is safe for you and other drivers to use. ",0,0,0,0,0,0,1,0,0,0,0
"if you provide us with your contacts’ information such as your friends or co-travellers, we may process this information: (i) to facilitate your referral invitations, (ii) to share your trip details and facilitate trip planning, (iii)",0,0,0,0,0,0,0,0,0,1,0
Improve our products and services,0,0,0,0,0,1,0,0,0,0,0
Improve the Lyft Platform,0,0,0,0,0,1,0,0,0,0,0
"improve the Platform by performing research, testing, and analysis",0,0,0,0,0,1,0,0,0,0,0
Improving customer service,0,0,0,0,0,1,0,0,0,0,0
"Improving, upgrading or enhancing our Services, Analyzing and improving our business",0,0,0,0,0,1,0,0,0,0,0
"In certain jurisdictions, and where permitted by law, users can record the audio of their trips through an in-app feature. Recordings are encrypted and stored on users’ devices, and are only shared with Uber if submitted to customer support by the users in connection with safety incidents. ",0,0,0,0,0,0,1,0,0,0,0
"In certain jurisdictions, and where permitted by law, users can record the audio of their trips through an in-app feature. Recordings are encrypted and stored on users’ devices, and are only shared with Uber if submitted to customer support by the users in connection with safety incidents. ",0,0,0,0,0,0,1,0,0,0,0
"In certain jurisdictions, and where permitted by law, users can record the audio of their trips through an in-app feature. Recordings are encrypted and stored on users’ devices, and are only shared with Uber if submitted to customer support by the users in connection with safety incidents. ",0,0,0,0,0,0,0,1,0,0,0
"In certain jurisdictions, and where permitted by law, users can record the audio of their trips through an in-app feature. Recordings are encrypted and stored on users’ devices, and are only shared with Uber if submitted to customer support by the users in connection with safety incidents. ",0,0,0,0,0,0,0,1,0,0,0
"In certain jurisdictions, and where permitted by law, users can record the audio of their trips through an in-app feature. Recordings are encrypted and stored on users’ devices, and are only shared with Uber if submitted to customer support by the users in connection with safety incidents. ",0,0,0,0,0,0,0,0,0,1,0
"In certain jurisdictions, and where permitted by law, users can record the audio of their trips through an in-app feature. Recordings are encrypted and stored on users’ devices, and are only shared with Uber if submitted to customer support by the users in connection with safety incidents. ",0,0,0,0,0,0,0,0,0,1,0
"In certain jurisdictions, you can request that your personal information be deleted.",0,0,0,1,0,0,0,0,0,0,0
"In certain regions, using information derived from driver’s photos submitted to CML for safety and security purposes. This includes prompting drivers establishing an account on the Curb® driver App to share a selfie before enabling such driver to receive trip requests.",0,0,0,0,0,0,1,0,0,0,0
"In connection with a Member’s request to retrieve a lost and found item from a vehicle, we may share your phone number with a Member. Otherwise, we will not share your e-mail address, phone number or other information with Members without your permission.",0,0,0,0,0,0,0,0,0,1,0
"In some jurisdictions, applicable law may entitle you to request certain copies of your personal information",0,0,0,1,0,0,0,0,0,0,0
"Information Collected Automatically: We do this to improve services we offer you, and to improve marketing, analytics, and site functionality.",0,0,0,0,0,1,0,0,0,0,0
Investigate and assist you in resolving questions or issues you have regarding the Lyft Platform,0,0,0,0,0,0,0,0,0,1,0
"Investigate and resolve incidents, accidents, and insurance claims",0,0,0,0,0,0,1,0,0,0,0
It is our policy to provide notice to Users before producing their information in response to law enforcement requests,0,0,0,1,0,0,0,0,0,0,0
"Keeping you safe requires us to process your Personal Information, such as your device information, activity information and other relevant information. We use such information to combat spam, malware, malicious activity or security risks; improve and enforce our security measures; and to monitor and verify your identity so that unauthorized users do not gain access to your information.",0,0,0,0,0,0,0,1,0,0,0
locating available lodging closest to you,0,1,0,0,0,0,0,0,0,0,0
Maintain the security and safety of the Lyft Platform and its users,0,0,0,0,0,0,1,0,0,0,0
Maintain the security and safety of the Lyft Platform and its users,0,0,0,0,0,0,0,1,0,0,0
Maintain the security and safety of the Scoop community and the Services (such as through authenticating users; verifying that Drivers meet eligibility requirements; encouraging safe driving behavior; finding and preventing fraud; and blocking and removing unsafe or fraudulent users from the Services),0,0,0,0,0,0,0,1,0,0,0
"Maintain your search and travel history, accommodation and travel preferences, and similar information about your use of Expedia Group’s platform and services",0,0,0,0,0,0,0,0,0,1,0
"Maintain, improve, research, and measure the effectiveness of our sites and apps, activities, tools, and services",0,0,0,0,0,1,0,0,0,0,0
"Marketing cookies help us to decide which products, services and interest-based advertisements to show you, both on and off our website and apps.",0,0,1,0,0,0,0,0,0,0,0
"Matching available drivers and delivery persons to users requesting services, aiming to reduce the average wait time for everyone",0,0,0,0,0,1,0,0,0,0,0
"Matching available drivers and delivery persons to users requesting services, aiming to reduce the average wait time for everyone",0,0,0,0,0,1,0,0,0,0,0
Measuring interest and engagement in our Services.,0,0,0,0,0,1,0,0,0,0,0
"Money back guarantee: To record you and your fellow travelers as beneficiaries, the following data are collected and passed on to the insurance intermediary",0,0,0,0,0,0,1,0,0,0,0
"Offer, process or facilitate payments for Services.",0,0,0,0,0,0,0,0,0,1,0
"Once a Courier accepts a delivery request from a Customer, the Customer may see the Courier’s first name and last initial, photo, aggregate rating, real-time location (which may reveal locations of other Customer to whom a Courier is providing a delivery), and/or other information to identify the Courier, including, but not limited to the Courier’s license plate, and color, make, and model of vehicle.",0,0,0,0,0,0,1,0,0,0,0
"operate, protect, improve, and optimize the Platform",0,0,0,0,0,1,0,0,0,0,0
our Site uses cookies and similar technologies to improve user experience and for analytics,0,0,0,0,0,1,0,0,0,0,0
"Payment card information is transmitted directly to a third-party payment card processor, Stripe, through an Internet connection secured by industry-standard Transport Layer Security (TLS) encryption technology. ",0,0,0,0,0,0,0,1,0,0,0
"perform analytics, conduct research, personalize, or otherwise customize your experience",0,0,1,0,0,0,0,0,0,0,0
"perform analytics, debug and conduct research",0,0,0,0,1,0,0,0,0,0,0
"personalize and customize your experience based on your interactions with the Airbnb Platform, your search and booking history, your profile information and preferences, and other content you submit",0,0,1,0,0,0,0,0,0,0,0
"Personalize the Scoop experience for you, your friends and your contacts",0,0,1,0,0,0,0,0,0,0,0
"Postmates uses the data we collect to communicate with you, either directly or through one of our service providers, including for marketing and promotional purposes, and to respond to any issues that may arise during deliveries.",0,0,0,0,0,0,0,0,0,1,0
"prevent, find, and resolve software or hardware bugs and issues",0,0,0,0,1,0,0,0,0,0,0
"Prevent, find, and resolve software or hardware bugs and issues",0,0,0,0,1,0,0,0,0,0,0
Profile Data: Enable Accessibility features that make it easier for users with disabilities to use our services,1,0,0,0,0,0,0,0,0,0,0
Profile Data: Enable Accessibility features that make it easier for users with disabilities to use our services,1,0,0,0,0,0,0,0,0,0,0
"Profile Data: Perform internal operations necessary to provide our services, including to troubleshoot software bugs and operational problems",0,0,0,0,1,0,0,0,0,0,0
"Profile Data: Perform internal operations necessary to provide our services, including to troubleshoot software bugs and operational problems",0,0,0,0,1,0,0,0,0,0,0
"provide and monitor the effectiveness of our Service, enhance our service",0,0,0,0,0,1,0,0,0,0,0
"provide custom, personalized content and information, including advertising",0,0,1,0,0,0,0,0,0,0,0
provide customer service,0,0,0,0,0,0,0,0,0,1,0
"Provide customer service, respond to your communications and requests, and contact you about your use of the Services",0,0,0,0,0,0,0,0,0,1,0
provide customer support ,0,0,0,0,0,0,0,0,0,1,0
provide customer support and contact you from time to time,0,0,0,0,0,0,0,0,0,1,0
"Provide the Services to you, improve the quality of the service, and develop new products and services",0,0,0,0,0,1,0,0,0,0,0
"Provide you with content, products and services you request",0,0,0,0,0,0,0,0,0,0,1
Providing you with user support;,0,0,0,0,0,0,0,0,0,1,0
"Public Information: such as your user ID/name associated with your account, your public profile photo, and for owners, where your car is located for pick up, your listing description, vehicle availability, and transaction related information to allow our community to evaluate your reliability and responsiveness, and reviews and feedback",0,0,0,0,0,0,0,0,1,0,0
Rating and reviewing service professionals,0,0,0,0,0,1,0,0,0,0,0
Request a ride on demand or schedule one ahead of time,0,0,0,0,0,0,0,0,0,1,0
Request a ride on demand or schedule one ahead of time,0,0,0,0,0,0,0,0,0,1,0
resolve disputes with our Members,0,0,0,1,0,0,0,0,0,0,0
"Resolve disputes, to enforce any legal terms that govern your use of the Platform",0,0,0,1,0,0,0,0,0,0,0
"Respond to your questions and requests for information, and process information choices",0,0,0,0,0,0,0,0,0,1,0
Responding to and handling any requests you or your booked Trip Provider have made,0,0,0,0,0,0,0,0,0,1,0
Responding to questions and feedback,0,0,0,0,0,0,0,0,0,1,0
Right of access to information about your personal data stored with us pursuant to Article 15 GDPR,0,0,0,1,0,0,0,0,0,0,0
save your login information for future logins to the TaskRabbit Platform,0,0,0,0,0,0,0,0,0,1,0
"Scheduling, rescheduling, and cancelling services",0,0,0,0,0,0,0,0,0,0,1
"send you marketing, advertising, and promotional messages and other information that may be of interest to you",0,0,0,0,0,0,0,0,0,1,0
"send you messages, updates, security alerts, and account notifications",0,0,0,0,0,0,0,0,0,1,0
"send you promotional messages, marketing, advertising, and other information based on your preferences and social media advertising through social media platforms",0,0,1,0,0,0,0,0,0,0,0
"Sending you marketing and promotional emails, on behalf of Handy or selected third parties",0,0,0,0,0,0,0,0,0,1,0
"Share with: Facebook, in connection with the use of the Facebook Business Tools in Uber apps and websites",0,0,0,0,0,0,0,0,0,1,0
"Share with: Facebook, in connection with the use of the Facebook Business Tools in Uber apps and websites",0,0,0,0,0,0,0,0,0,1,0
"Share with: Google, in connection with the use of Google Maps in Uber apps (see Google privacy policy for information on their collection and use of data)",0,1,0,0,0,0,0,0,0,0,0
"Share with: Google, in connection with the use of Google Maps in Uber apps (see Google privacy policy for information on their collection and use of data)",0,1,0,0,0,0,0,0,0,0,0
"Share with: Google, in connection with the use of Google Maps in Uber apps (see Google privacy policy for information on their collection and use of data)",0,0,0,0,0,0,0,0,0,1,0
"Share with: Google, in connection with the use of Google Maps in Uber apps (see Google privacy policy for information on their collection and use of data)",0,0,0,0,0,0,0,0,0,1,0
"Short-term, transient use, such as contextual customization of ads",0,0,1,0,0,0,0,0,0,0,0
Site Usage Information – We collect information to better understand customer traffic patterns and Site usage. This information is used to analyze and improve our Site and to provide our customers with a better user experience,0,0,0,0,0,1,0,0,0,0,0
social logins information:  identify you as our contractual partner,0,0,0,0,0,0,0,1,0,0,0
social logins information: check the entered data for plausibility,0,0,0,0,0,0,0,1,0,0,0
social media logins: We do this to reduce the need for you to remember different usernames and passwords for different online services.,0,0,0,0,0,0,0,0,0,1,0
such as to facilitate online purchases of our products; process shipping and returns;,0,0,0,0,0,0,0,0,0,1,0
"TaskRabbit may use your cell phone number to call or send recurring text messages to you, using an autodialer or prerecorded voice, in order to provide you notifications about Tasks, for marketing purposes",0,0,1,0,0,0,0,0,0,0,0
The information in your User Profile may be visible to all Users and the general public,0,0,0,0,0,0,0,0,1,0,0
"These advertisements may be targeted to users who fit certain general profile categories or display certain preferences or behaviors (""Interest-Based Ads""). Information for Internet-Based Ads (including Personal Data) may be provided to us by you, or derived from the usage patterns of particular users on the Services and/or services of third parties.",0,0,1,0,0,0,0,0,0,0,0
"These Cookies help us to personalize our content for you, greet you by name, and remember your preferences",0,0,1,0,0,0,0,0,0,0,0
"These Cookies help us to personalize our content for you, greet you by name, and remember your preferences",0,0,0,0,0,0,0,0,0,1,0
"Through non-affiliated third parties, we may also collect information that demonstrates the occurrence of an off-Platform communication between a Customer Member and a Service Member in order to ensure accurate charging of fees imposed upon Service Members ",0,1,0,0,0,0,0,0,0,0,0
"To address fraud or safety concerns, or to investigate complaints or suspected fraud or wrongdoing",0,0,0,0,0,0,1,0,0,0,0
to analyze and improve the Services and promote our business,0,0,0,0,0,1,0,0,0,0,0
To analyze TaskRabbit Platform usage as necessary for our legitimate interest in improving the TaskRabbit Platform to grow our business,0,0,0,0,0,1,0,0,0,0,0
"To assist Users in the resolution of complaints and disputes between them, as necessary for our legitimate interests in facilitating good relations among Users",0,0,0,1,0,0,0,0,0,0,0
"To authenticate the identity of our users, drivers and couriers",0,0,0,0,0,0,0,1,0,0,0
To comply with applicable laws and regulations,0,0,0,1,0,0,0,0,0,0,0
"To comply with our legal or contractual obligations, resolve disputes, and enforce our Terms of Service",0,0,0,1,0,0,0,0,0,0,0
To contact Clients to tell them about products and services that Professionals may offer and to further promote Professionals and the Services.,0,0,0,0,0,0,0,0,0,1,0
"To contact you with administrative communications and Upwork newsletters, marketing or promotional materials",0,0,0,0,0,0,0,0,0,1,0
"To contact you with general or personalized service-related messages, as well as promotional messages that may be of specific interest to you",0,0,1,0,0,0,0,0,0,0,0
"To enable communications with, between or among users ",0,0,0,0,0,0,0,0,0,1,0
"To enforce and comply with the law, including to conduct an investigation, to protect the property and rights of Upwork or a third party, to protect the safety of the public or any person, or to prevent or stop activity we may consider to be, or to pose a risk of being, illegal, fraudulent, unethical or legally actionable activity. We may also use Device Identifiers to identify Upwork Users.",0,0,0,1,0,0,0,0,0,0,0
"to ensure user-friendliness we also use temporary cookies, which are stored on your device for a specific period of time",0,0,0,0,0,0,0,0,0,1,0
"To facilitate, operate, and provide our Services",0,0,0,0,0,0,0,0,0,0,1
"To gain a better understanding on how you use and interact with our Services, and how we could improve your and others’ user experience, and continue improving our products, offerings and the overall performance of our Services",0,0,0,0,0,1,0,0,0,0,0
"To improve and develop the Services, including testing, research, analysis and product development",0,0,0,0,0,1,0,0,0,0,0
"To keep your financial data secure, we have contracted with a third party to maintain and process your payment card information.",0,0,0,0,0,0,0,1,0,0,0
"to maintain appropriate business records, to comply with lawful requests",0,0,0,1,0,0,0,0,0,0,0
"To personalize website content and communications based on your preferences, including targeted offers and ads served through the Services",0,0,1,0,0,0,0,0,0,0,0
"To provide assistance and support to our customers, users, drivers and couriers",0,0,0,0,0,0,0,0,0,1,0
"To provide support and assistance for the Services through email, SMS, or other forms of communication",0,0,0,0,0,0,0,0,0,1,0
"to respond to claims against us; and to protect the rights, property, or personal safety of Fiverr, our customers, or the public",0,0,0,0,0,0,1,0,0,0,0
To respond to user inquiries and fulfill user requests,0,0,0,0,0,0,0,0,0,1,0
"To support and enhance our data security measures, including for the purposes of preventing and mitigating the risks of fraud, error or any illegal or prohibited activity",0,0,0,0,0,0,0,1,0,0,0
"Track and share progress of deliveries and orders, Notify you about progress of deliveries and orders",0,1,0,0,0,0,0,0,0,0,0
Track and share the progress of trips arranged via the Platform. ,0,1,0,0,0,0,0,0,0,0,0
Troubleshooting technical problems on the Handy Platform,0,0,0,0,1,0,0,0,0,0,0
Turo may provide your mobile phone number to facilitate communication,0,0,0,0,0,0,0,0,0,1,0
Uber enables users to access and control the data that Uber collects,0,0,0,1,0,0,0,0,0,0,0
Uber enables users to access and control the data that Uber collects,0,0,0,1,0,0,0,0,0,0,0
Uber may retain user data after a deletion request due to legal or regulatory requirements or for the reasons stated in this policy,0,0,0,1,0,0,0,0,0,0,0
Uber may retain user data after a deletion request due to legal or regulatory requirements or for the reasons stated in this policy,0,0,0,1,0,0,0,0,0,0,0
Uber uses upfront pricing to let riders know the cost of their trip before they request a ride. This gives them peace of mind and helps eliminate the risk of fraud.,0,0,0,0,0,0,0,1,0,0,0
Uber uses upfront pricing to let riders know the cost of their trip before they request a ride. This gives them peace of mind and helps eliminate the risk of fraud.,0,0,0,0,0,0,0,1,0,0,0
Uber uses upfront pricing to let riders know the cost of their trip before they request a ride. This gives them peace of mind and helps eliminate the risk of fraud.,0,0,0,0,0,0,0,0,1,0,0
Uber uses upfront pricing to let riders know the cost of their trip before they request a ride. This gives them peace of mind and helps eliminate the risk of fraud.,0,0,0,0,0,0,0,0,1,0,0
Uber uses upfront pricing to let riders know the cost of their trip before they request a ride. This gives them peace of mind and helps eliminate the risk of fraud.,0,0,0,0,0,0,0,0,0,1,0
Uber uses upfront pricing to let riders know the cost of their trip before they request a ride. This gives them peace of mind and helps eliminate the risk of fraud.,0,0,0,0,0,0,0,0,0,1,0
Uber’s cashless payment option simplifies the payment process,0,0,0,0,0,0,0,0,0,1,0
Uber’s cashless payment option simplifies the payment process,0,0,0,0,0,0,0,0,0,1,0
Understand how users interact with the Services (including advertising both on and off the Services) as a whole and to test new features or changes in our features,0,0,0,0,0,1,0,0,0,0,0
Upwork stores this information for the sole purpose of sending this one-time email and tracking the success of our referral program.,0,0,0,0,0,0,0,0,0,0,1
Upwork takes commercially reasonable steps to help protect and secure the information it collects and stores about Upwork Users. All access to the Site is encrypted using industry-standard transport layer security technology,0,0,0,0,0,0,0,1,0,0,0
Users may request deletion of their accounts at any time,0,0,0,1,0,0,0,0,0,0,0
Users may request deletion of their accounts at any time,0,0,0,1,0,0,0,0,0,0,0
uses an automated telephone number detection system to match your telephone number to your existing reservations. This can help save time for both you and our customer service staff. ,0,0,0,0,0,1,0,0,0,0,0
"Using information from your mobile or in-vehicle device to identify unsafe driving behavior, including speeding or harsh braking and acceleration, and to raise awareness regarding such behaviors",0,0,0,0,0,0,1,0,0,0,0
"Using user location information, and communications between passengers and drivers, to identify no-show or cancellation fees payable or induced through fraud",0,0,0,0,0,0,0,1,0,0,0
Using your contact information to send you regular news about travel-related products and services.,0,0,0,0,0,0,0,0,0,1,0
"verify listings and driver identifications, conduct checks against government databases and other information sources for fraud detection and prevention, risk assessment and harm prevention purposes",0,0,0,0,0,0,0,1,0,0,0
verify or authenticate information provided by you,0,0,0,0,0,0,0,1,0,0,0
Verify that Drivers and their vehicles meet safety requirements,0,0,0,0,0,0,1,0,0,0,0
Verify the probability of a user’s Service request being authentic.,0,0,0,0,0,0,1,0,0,0,0
"Verify your identity and maintain your account, settings, and preferences",0,0,0,0,0,0,0,1,0,0,0
"Verify your identity or authenticate information that you provide, including during account creation and password reset processes",0,0,0,0,0,0,0,1,0,0,0
"We (or our service providers) may use the information we collect, for instance, IP addresses and unique mobile device identifiers, to locate or try to locate the same unique users across multiple browsers or devices (such as smartphones, tablets, or computers), or work with providers that do this, in order to better tailor content and features and provide you with a seamless experience across devices.",0,0,0,0,0,0,0,0,0,1,0
We also collect content within any messages you exchange with other Users through the Service,0,0,0,0,0,0,1,0,0,0,0
"We also share details of any reviews that you provide in relation to the property, so that they can address any complaints or make sure that they keep up the good work. If you contact us with a query or complaint in relation to a property we may also share details of the query or complaint with the property so that we can resolve it",0,0,0,0,0,0,0,0,0,1,0
"We also use cookies and similar technologies for purposes of marketing and advertising, including interest-based advertising.",0,0,1,0,0,0,0,0,0,0,0
We also use personal data for analytical purposes and product improvement.,0,0,0,0,0,1,0,0,0,0,0
"We also use the data to test new features that we are thinking about introducing, to analyse how our website is used, and to evaluate and improve our services",0,0,0,0,0,1,0,0,0,0,0
We also use third-party service providers to display advertisements to you on other websites based on your activities while on the Handy Platform.,0,0,1,0,0,0,0,0,0,0,0
"We also use your information to personalize your experience. For example, we may personalize the content and features you see when visiting our Services.",0,0,1,0,0,0,0,0,0,0,0
"We and our hosting services implement systems, applications and procedures to secure your personal data, and to reduce the risks of theft, damage, loss of data, or unauthorized access or use of personal data.",0,0,0,0,0,0,0,1,0,0,0
"We and our partners may use these technologies and the information we receive to improve and understand how you use websites, apps, products, services and ads",0,0,0,0,0,1,0,0,0,0,0
"We are continuously implementing and updating administrative, technical, and physical security measures to help protect your information against unauthorized access, destruction or alteration",0,0,0,0,0,0,0,1,0,0,0
"we are continuously implementing and updating administrative, technical, and physical security measures to help protect your information against unauthorized access, loss, destruction, or alteration",0,0,0,0,0,0,0,1,0,0,0
"we are required to share certain details about users (name, phone, ride start and end point, pick-up time and ride related details entered as free text) and our drivers or couriers (name, phone, user score, current location, time of arrival estimation, car type/brand and plate number, hobbies and similar information)",0,0,0,1,0,0,0,0,0,0,0
We check your driver's record to make sure you and your car meet Getaround safety standards,0,0,0,0,0,0,1,0,0,0,0
We collect information about your current employer and your employment history in order to conduct background and other screening activities if you submit an employment application to us,0,0,0,0,0,0,1,0,0,0,0
We collect information about your current employer and your employment history in order to conduct background and other screening activities if you submit an employment application to us,0,0,0,0,0,0,0,0,1,0,0
We collect information through technology to enhance our ability to serve you,0,0,0,0,0,1,0,0,0,0,0
"We collect technical information associated with your activity on our Site and may include information related to your browser and operating system, IP address (the Internet address of your computer) unique device identifiers, and other information such as your device type. We use such information for diagnostic and statistical purposes and to administer our Services",0,0,0,0,0,1,0,0,0,0,0
We collect your age in order to comply with laws that restrict collection and disclosure of personal information belonging to minors.,0,0,0,1,0,0,0,0,0,0,0
"we collect your first and last name, email address, and your zip or postal code in order to create and administer your TaskRabbit account.",0,0,0,0,0,0,0,0,0,0,1
We collect your profile information to verify your identity for account access and payments,0,0,0,0,0,0,0,1,0,0,0
We collect your profile information to verify your identity for account access and payments,0,0,0,0,0,0,0,1,0,0,0
"We disclose personal information to third parties, such as legal advisors and law enforcement, as required by law or subpoena or if we reasonably believe that such action is necessary to (a) comply with the law and the reasonable requests of law enforcement",0,0,0,1,0,0,0,0,0,0,0
"We disclose personal information, such as a unique identifier, hashed email address, or information automatically collected through tracking technologies, to social networks for the purpose of displaying personalized advertising and content on those social networks.",0,0,1,0,0,0,0,0,0,0,0
"We employ physical, procedural, and technological security measures to help protect your personal information from unauthorized access or disclosure",0,0,0,0,0,0,0,1,0,0,0
"We follow generally accepted industry standards to protect the Personal Information submitted to us, both during transmission and once we receive it. ",0,0,0,0,0,0,0,1,0,0,0
"We have implemented technical, administrative, and physical security measures to protect your Personal Information from unauthorized access or disclosure and improper use",0,0,0,0,0,0,0,1,0,0,0
"We maintain reasonable security procedures and technical and organizational measures to protect your Personal Information against accidental or unlawful destruction, loss, disclosure, alteration, or use.",0,0,0,0,0,0,0,1,0,0,0
we make every reasonable effort to use anonymized or de-identified information where possible and have implemented measures to help limit the use of personal information for analytic purposes. ,0,0,0,0,0,0,0,0,1,0,0
"We may access, preserve, and disclose your Personal Information, other account information, and content if we believe doing so is required or appropriate to: comply with law enforcement requests and legal process, such as a court order or subpoena or to meet national security requirements; ",0,0,0,1,0,0,0,0,0,0,0
We may also contact you with promotional offerings or other communications that may be of interest to you,0,0,0,0,0,0,0,0,0,1,0
"We may also disclose personal information if we believe it to be reasonably necessary to satisfy any applicable law or regulation and comply with legal process, such as search warrant, subpoena or court order, or other government request served on us or on our affiliates",0,0,0,1,0,0,0,0,0,0,0
"We may also use the information provided by you to investigate, respond to, and resolve issues or complaints.",0,0,0,1,0,0,0,0,0,0,0
We may also use your personal information to send you promotional messages from us,0,0,0,0,0,0,0,0,0,1,0
"We may be required to disclose Personal Information in response to a court order, subpoena, civil discovery request, other legal process, or as otherwise required by law",0,0,0,1,0,0,0,0,0,0,0
"We may collect Personal Information, such as your date of birth or taxpayer identification number, to validate your identity or as may be required by law, such as to complete tax filings",0,0,0,0,0,0,1,0,0,0,0
we may collect user photographs as an additional security measure for identity verification and fraud-prevention purposes.,0,0,0,0,0,0,0,1,0,0,0
we may collect your Facebook authentication token and account identification number and use that information to provide you with access to your account on the Handy Platform,0,0,0,0,0,0,0,0,0,1,0
"We may disclose information to third parties pursuant to legal process, and all information collected may be deemed discoverable by third parties and used in accident investigations and litigation",0,0,0,1,0,0,0,0,0,0,0
"We may disclose your information to courts, law enforcement, governmental or public authorities, tax authorities, or authorized third parties, if and to the extent we are required or permitted to do so by law ",0,0,0,1,0,0,0,0,0,0,0
We may disclose your information when required by law or when we believe in good faith that such disclosure is necessary,0,0,0,1,0,0,0,0,0,0,0
"We may disclose your personal information to courts, law enforcement, governmental or tax authorities, or third parties.",0,0,0,1,0,0,0,0,0,0,0
"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors, and insurers, where necessary in the course of the professional services that they render to us.",0,0,0,0,0,0,0,0,0,0,1
We may maintain location information and other usage data for record-keeping and analytics purposes.,0,0,0,0,0,1,0,0,0,0,0
we may need to use your information to handle and resolve legal disputes,0,0,0,1,0,0,0,0,0,0,0
"we may require Freelancers to participate in a video call after submitting their government issued ID to enable us to confirm that the Freelancer is indeed the individual in the ID. We may record such video calls and take screenshots of the user during the call. Upwork may use the information obtained from Identity Verification for purposes of verifying your identity, enforcing our Terms of Service and other agreements, and preventing fraud.",0,0,0,0,0,0,1,0,0,0,0
we may send you text messages or other notifications about the status of your orders and deliveries,0,0,0,0,0,0,0,0,0,1,0
we may share information with Merchants to facilitate deliveries such as your first name and last initial and order information related to your orders with DoorDash merchants,0,1,0,0,0,0,0,0,0,0,0
We may share license plate information with governmental agencies to ensure compliance with local parking rules and restrictions,0,0,0,1,0,0,0,0,0,0,0
"We may share your personal data with others if we believe in good faith that this will help protect the rights, property or personal safety of Gett, any of our users, ",0,0,0,0,0,0,1,0,0,0,0
We may share your personal information in response to a legal obligation,0,0,0,1,0,0,0,0,0,0,0
We may share your Personal Information with third parties such as law enforcement or other government agencies to comply with law or legal requirements; to enforce or apply our Terms of Use and other agreements,0,0,0,1,0,0,0,0,0,0,0
"We may use Device Information to monitor the geographic regions from which Users navigate the TaskRabbit Platform, and for security and fraud prevention purposes.",0,0,0,0,0,0,0,1,0,0,0
"We may use information (including photos) submitted by users to verify their identities or Account usage, such as, for example, cross-referencing public databases and/or using facial recognition technologies.",0,0,0,0,0,0,0,1,0,0,0
"We may use personally identifiable information to investigate damage claims connected to trips taken and/or cars listed on our Getaround, and we may disclose personally identifiable information to a third party in connection with processing such claims under reasonable confidentiality restrictions.",0,0,0,1,0,0,0,0,0,0,0
We may use the data collected automatically through tracking technologies to: detect or prevent fraud or other harmful activities,0,0,0,0,0,0,0,1,0,0,0
We may use the data collected automatically through tracking technologies to: diagnose or fix technology problems,0,0,0,0,1,0,0,0,0,0,0
We may use the data collected automatically through tracking technologies to: provide and monitor the effectiveness of our Services,0,0,0,0,0,1,0,0,0,0,0
"We may use the data collected automatically through tracking technologies to: provide custom, personalized content and information",0,0,1,0,0,0,0,0,0,0,0
"We may use the data collected automatically through tracking technologies to: remember information so that you will not have to re-enter it during your visit or the next time you visit the Platform, identify and contact you across multiple device",0,0,0,0,0,0,0,0,0,1,0
"We may use the data we collect to personalize the marketing communications (including advertisements) that we send, including based on user location, past use of CML’s services and user preferences and settings.",0,0,1,0,0,0,0,0,0,0,0
"We may use the data we collect to personalize the marketing communications (including advertisements) that we send, including based on user location, past use of Uber services, and user preferences and settings",0,0,1,0,0,0,0,0,0,0,0
"We may use the data we collect to personalize the marketing communications (including advertisements) that we send, including based on user location, past use of Uber services, and user preferences and settings",0,0,1,0,0,0,0,0,0,0,0
